[WARN ] 2022-03-16 23:58:21 IXmlReader: BuyListData: Folder E:\l2jserver\server\Game\data\buylists\custom doesn't exist!
[WARN ] 2022-03-16 23:58:23 IXmlReader: MultisellData: Folder E:\l2jserver\server\Game\data\multisell\custom doesn't exist!
[WARN ] 2022-03-16 23:59:44 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-16 23:59:49 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-16 23:59:54 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-16 23:59:59 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:04 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:09 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:14 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:19 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:24 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:29 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:34 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:39 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:44 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:49 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:54 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:00:59 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:01:04 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:01:09 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:01:14 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:01:19 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:01:24 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:01:29 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:01:34 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN ] 2022-03-17 00:01:39 LoginServerThread: LoginServer not avaible, trying to reconnect...
